Identificación,Número de Matrícula,Estado de la matrícula,nombre,Categoria de la Matrícula,Tipo de Sociedad,Tipo Organización,Cámara de Comercio,Fecha de Matrícula,Fecha de Vigencia,Fecha de Cancelación,Último año renovado,Fecha de renovación,Fecha de Actualización,Motivo Cancelación,Emprendimiento Social,Extinción de Dominio
NIT 800137336 - 0,15941604,Activa,COMERCIALIZADORA LA LLAMA S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/07/01,2041/02/13,,1992,,,,,
NIT 800136312 - 0,15941804,Activa,VELPASS S A,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/07/01,2021/06/26,,1996,,,,,
NIT 800135479 - 6,15942104,Activa,"DILADA S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/07/01,2041/07/15,,1999,,,,,
NIT 800137202 - 2,15968204,Activa,"AIRE ACONDICIONADO Y REFRIGERACION DE COLOMBIA S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/07/01,2041/06/14,,1998,1998/08/28,,,,
NIT 800137881 - 3,15997912,Activa,CASMAR DE COLOMBIA S. A. S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,1991/08/01,Indefinido,,2022,2022/12/20,2022/12/20,,,
CEDULA DE CIUDADANIA 1 - 0,16015807,Activa,INVERSIONES VILLEGAS OCHO Y CIA S C A EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad en comandita por acciones,Medellin para antioquia,1991/08/01,2041/04/06,,1991,,,,,
NIT 800139344 - 0,16041303,Activa,ASESORES EN SALUD PREPAGADA A S P Y CIA LTDA AGENTES DE MEDICINA PREPAGADA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1991/08/01,2011/07/30,,1999,,,,,
NIT 800142256 - 1,16079904,Activa,"SERVICIOS AGROPECUARIOS LOS MILAGROS S A SERAGROS S A ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Medellin para antioquia,1991/09/01,2000/12/31,,1992,1992/03/30,2018/08/11,,,
SIN IDENTIFICACION,16082903,Activa,"A SU SALUD Y CIA LTDA ASESORES EN SERVICIOS DE SALUD ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1991/09/01,2010/08/01,,1991,,2018/05/20,,,
NIT 800148328 - 0,16295603,Activa,ADMINISTRACION CIBERNETICA DE APUESTAS LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,1991/11/01,2091/10/18,,1992,,,,,
